entropy,before_average_time,yvar,SE,df,tvar,xvar
-1,-1,-1.642858726,0.242061086,19.04355742,-1,-1
-1,-0.9,-1.487292055,0.240988353,18.72359245,-1,-0.9
-1,-0.8,-1.331725385,0.240023065,18.43903807,-1,-0.8
-1,-0.7,-1.176158715,0.239166523,18.18920647,-1,-0.7
-1,-0.6,-1.020592044,0.238419899,17.97348763,-1,-0.6
-1,-0.5,-0.865025374,0.237784229,17.79135016,-1,-0.5
-1,-0.4,-0.709458704,0.237260404,17.642342,-1,-0.4
-1,-0.3,-0.553892033,0.236849166,17.52609108,-1,-0.3
-1,-0.2,-0.398325363,0.236551103,17.44230578,-1,-0.2
-1,-0.1,-0.242758692,0.236366643,17.39077541,-1,-0.1
-1,0,-0.087192022,0.236296052,17.37137044,-1,0
-1,0.1,0.068374648,0.236339431,17.38404269,-1,0.1
-1,0.2,0.223941319,0.236496719,17.42882545,-1,0.2
-1,0.3,0.379507989,0.236767688,17.50583338,-1,0.3
-1,0.4,0.535074659,0.237151948,17.61526242,-1,0.4
-1,0.5,0.69064133,0.23764895,17.75738953,-1,0.5
-1,0.6,0.846208,0.238257989,17.93257231,-1,0.6
-1,0.7,1.001774671,0.238978207,18.14124852,-1,0.7
-1,0.8,1.157341341,0.239808604,18.38393554,-1,0.8
-1,0.9,1.312908011,0.240748038,18.66122966,-1,0.9
-1,1,1.468474682,0.241795239,18.97380525,-1,1
0,-1,-1.473908487,0.240259762,18.49139586,0,-1
0,-0.9,-1.323779401,0.239228586,18.1900896,0,-0.9
0,-0.8,-1.173650315,0.238300662,17.9219706,0,-0.8
0,-0.7,-1.02352123,0.2374772,17.68641176,0,-0.7
0,-0.6,-0.873392144,0.23675929,17.48285656,0,-0.6
0,-0.5,-0.723263058,0.236147895,17.31081984,0,-0.5
0,-0.4,-0.573133972,0.235643844,17.16988839,0,-0.4
0,-0.3,-0.423004886,0.235247826,17.05972151,0,-0.3
0,-0.2,-0.272875801,0.234960388,16.98005145,0,-0.2
0,-0.1,-0.122746715,0.234781929,16.93068377,0,-0.1
0,0,0.027382371,0.234712698,16.91149758,0,0
0,0.1,0.177511457,0.234752791,16.92244567,0,0.1
0,0.2,0.327640543,0.234902152,16.96355462,0,0.2
0,0.3,0.477769628,0.235160572,17.03492472,0,0.3
0,0.4,0.627898714,0.235527694,17.13672987,0,0.4
0,0.5,0.7780278,0.236003009,17.26921731,0,0.5
0,0.6,0.928156886,0.236585866,17.43270736,0,0.6
0,0.7,1.078285971,0.237275472,17.62759291,0,0.7
0,0.8,1.228415057,0.238070899,17.85433901,0,0.8
0,0.9,1.378544143,0.238971091,18.11348216,0,0.9
0,1,1.528673229,0.239974868,18.40562965,0,1
1,-1,-1.304958248,0.242114432,19.07478103,1,-1
1,-0.9,-1.160266747,0.240977171,18.73261798,1,-0.9
1,-0.8,-1.015575246,0.239954785,18.42875968,1,-0.8
1,-0.7,-0.870883744,0.239048747,18.16240571,1,-0.7
1,-0.6,-0.726192243,0.238260385,17.93284679,1,-0.6
1,-0.5,-0.581500742,0.237590869,17.73946565,1,-0.5
1,-0.4,-0.436809241,0.237041207,17.58173791,1,-0.4
1,-0.3,-0.29211774,0.236612234,17.45923274,1,-0.3
1,-0.2,-0.147426238,0.236304607,17.37161338,1,-0.2
1,-0.1,-0.002734737,0.236118801,17.31863764,1,-0.1
1,0,0.141956764,0.236055104,17.30015816,1,0
1,0.1,0.286648265,0.236113613,17.3161226,1,0.1
1,0.2,0.431339766,0.236294239,17.36657368,1,0.2
1,0.3,0.576031267,0.236596702,17.45164916,1,0.3
1,0.4,0.720722769,0.237020535,17.57158157,1,0.4
1,0.5,0.86541427,0.237565088,17.72669796,1,0.5
1,0.6,1.010105771,0.238229535,17.91741942,1,0.6
1,0.7,1.154797272,0.239012874,18.14426048,1,0.7
1,0.8,1.299488773,0.239913942,18.40782849,1,0.8
1,0.9,1.444180275,0.240931417,18.70882271,1,0.9
1,1,1.588871776,0.242063832,19.0480334,1,1
