entropy,normal_issue,yvar,SE,df,tvar,xvar
-1,-1,-0.164972148,0.237059256,17.59615505,-1,-1
-1,-0.9,-0.157194135,0.236738041,17.50126176,-1,-0.9
-1,-0.8,-0.149416123,0.236470932,17.42264378,-1,-0.8
-1,-0.7,-0.14163811,0.236258111,17.36019431,-1,-0.7
-1,-0.6,-0.133860097,0.236099726,17.3138283,-1,-0.6
-1,-0.5,-0.126082085,0.235995885,17.28348254,-1,-0.5
-1,-0.4,-0.118304072,0.235946662,17.26911559,-1,-0.4
-1,-0.3,-0.11052606,0.235952089,17.27070781,-1,-0.3
-1,-0.2,-0.102748047,0.236012164,17.28826139,-1,-0.2
-1,-0.1,-0.094970035,0.236126845,17.32180033,-1,-0.1
-1,0,-0.087192022,0.236296052,17.37137044,-1,0
-1,0.1,-0.079414009,0.236519668,17.43703931,-1,0.1
-1,0.2,-0.071635997,0.236797539,17.51889634,-1,0.2
-1,0.3,-0.063857984,0.237129474,17.61705269,-1,0.3
-1,0.4,-0.056079972,0.237515247,17.7316413,-1,0.4
-1,0.5,-0.048301959,0.237954595,17.86281682,-1,0.5
-1,0.6,-0.040523947,0.238447223,18.01075562,-1,0.6
-1,0.7,-0.032745934,0.238992802,18.17565575,-1,0.7
-1,0.8,-0.024967922,0.239590968,18.35773689,-1,0.8
-1,0.9,-0.017189909,0.240241331,18.55724037,-1,0.9
-1,1,-0.009411896,0.240943466,18.77442903,-1,1
0,-1,0.016095773,0.236037018,17.29473223,0,-1
0,-0.9,0.017224433,0.235790886,17.22300529,0,-0.9
0,-0.8,0.018353093,0.235569869,17.15878796,0,-0.8
0,-0.7,0.019481753,0.235374038,17.10203962,0,-0.7
0,-0.6,0.020610412,0.235203456,17.05272427,0,-0.6
0,-0.5,0.021739072,0.235058177,17.01081059,0,-0.5
0,-0.4,0.022867732,0.23493825,16.97627193,0,-0.4
0,-0.3,0.023996392,0.234843711,16.94908629,0,-0.3
0,-0.2,0.025125051,0.234774593,16.92923635,0,-0.2
0,-0.1,0.026253711,0.234730917,16.91670944,0,-0.1
0,0,0.027382371,0.234712698,16.91149758,0,0
0,0.1,0.028511031,0.234719942,16.91359745,0,0.1
0,0.2,0.02963969,0.234752646,16.9230104,0,0.2
0,0.3,0.03076835,0.2348108,16.93974245,0,0.3
0,0.4,0.03189701,0.234894385,16.96380431,0,0.4
0,0.5,0.03302567,0.235003374,16.99521131,0,0.5
0,0.6,0.03415433,0.235137731,17.0339835,0,0.6
0,0.7,0.035282989,0.235297412,17.08014558,0,0.7
0,0.8,0.036411649,0.235482368,17.13372689,0,0.8
0,0.9,0.037540309,0.235692537,17.19476146,0,0.9
0,1,0.038668969,0.235927853,17.26328798,0,1
1,-1,0.197163694,0.238449181,18.01067347,1,-1
1,-0.9,0.191643001,0.238013615,17.87978804,1,-0.9
1,-0.8,0.186122308,0.237621175,17.76247309,1,-0.8
1,-0.7,0.180601615,0.237272078,17.65860087,1,-0.7
1,-0.6,0.175080922,0.236966513,17.5680579,1,-0.6
1,-0.5,0.169560229,0.236704651,17.49074497,1,-0.5
1,-0.4,0.164039536,0.236486635,17.42657712,1,-0.4
1,-0.3,0.158518843,0.236312587,17.37548371,1,-0.3
1,-0.2,0.15299815,0.236182605,17.33740839,1,-0.2
1,-0.1,0.147477457,0.236096761,17.31230912,1,-0.1
1,0,0.141956764,0.236055104,17.30015816,1,0
1,0.1,0.136436071,0.236057656,17.30094211,1,0.1
1,0.2,0.130915378,0.236104417,17.31466186,1,0.2
1,0.3,0.125394685,0.23619536,17.34133263,1,0.3
1,0.4,0.119873992,0.236330434,17.38098396,1,0.4
1,0.5,0.114353299,0.236509563,17.43365969,1,0.5
1,0.6,0.108832606,0.236732648,17.49941798,1,0.6
1,0.7,0.103311913,0.236999564,17.57833129,1,0.7
1,0.8,0.09779122,0.237310164,17.67048635,1,0.8
1,0.9,0.092270527,0.237664276,17.77598419,1,0.9
1,1,0.086749834,0.238061706,17.8949401,1,1
