entropy,core_assign,yvar,SE,df,tvar,xvar
-1,-1,0.058642098,0.029073772,Inf,-1,-1
-1,-0.9,0.051461629,0.028837772,Inf,-1,-0.9
-1,-0.8,0.04428116,0.028625175,Inf,-1,-0.8
-1,-0.7,0.037100692,0.028436505,Inf,-1,-0.7
-1,-0.6,0.029920223,0.028272242,Inf,-1,-0.6
-1,-0.5,0.022739754,0.028132813,Inf,-1,-0.5
-1,-0.4,0.015559285,0.028018589,Inf,-1,-0.4
-1,-0.3,0.008378817,0.02792988,Inf,-1,-0.3
-1,-0.2,0.001198348,0.027866928,Inf,-1,-0.2
-1,-0.1,-0.005982121,0.027829909,Inf,-1,-0.1
-1,0,-0.01316259,0.027818927,Inf,-1,0
-1,0.1,-0.020343058,0.027834011,Inf,-1,0.1
-1,0.2,-0.027523527,0.027875121,Inf,-1,0.2
-1,0.3,-0.034703996,0.02794214,Inf,-1,0.3
-1,0.4,-0.041884465,0.028034883,Inf,-1,0.4
-1,0.5,-0.049064933,0.028153096,Inf,-1,0.5
-1,0.6,-0.056245402,0.02829646,Inf,-1,0.6
-1,0.7,-0.063425871,0.028464594,Inf,-1,0.7
-1,0.8,-0.07060634,0.028657063,Inf,-1,0.8
-1,0.9,-0.077786808,0.02887338,Inf,-1,0.9
-1,1,-0.084967277,0.029113013,Inf,-1,1
0,-1,0.107357716,0.028513146,Inf,0,-1
0,-0.9,0.101660438,0.028353848,Inf,0,-0.9
0,-0.8,0.095963159,0.028210171,Inf,0,-0.8
0,-0.7,0.090265881,0.028082356,Inf,0,-0.7
0,-0.6,0.084568603,0.02797062,Inf,0,-0.6
0,-0.5,0.078871325,0.027875156,Inf,0,-0.5
0,-0.4,0.073174047,0.027796132,Inf,0,-0.4
0,-0.3,0.067476769,0.027733688,Inf,0,-0.3
0,-0.2,0.061779491,0.027687937,Inf,0,-0.2
0,-0.1,0.056082213,0.027658962,Inf,0,-0.1
0,0,0.050384935,0.027646814,Inf,0,0
0,0.1,0.044687657,0.027651518,Inf,0,0.1
0,0.2,0.038990379,0.027673063,Inf,0,0.2
0,0.3,0.033293101,0.02771141,Inf,0,0.3
0,0.4,0.027595823,0.027766491,Inf,0,0.4
0,0.5,0.021898545,0.027838205,Inf,0,0.5
0,0.6,0.016201267,0.027926424,Inf,0,0.6
0,0.7,0.010503989,0.028030994,Inf,0,0.7
0,0.8,0.004806711,0.02815173,Inf,0,0.8
0,0.9,-0.000890567,0.028288427,Inf,0,0.9
0,1,-0.006587845,0.028440854,Inf,0,1
1,-1,0.156073333,0.029958716,Inf,1,-1
1,-0.9,0.151859246,0.029700508,Inf,1,-0.9
1,-0.8,0.147645159,0.029467148,Inf,1,-0.8
1,-0.7,0.143431071,0.029259232,Inf,1,-0.7
1,-0.6,0.139216984,0.029077304,Inf,1,-0.6
1,-0.5,0.135002897,0.028921856,Inf,1,-0.5
1,-0.4,0.130788809,0.028793316,Inf,1,-0.4
1,-0.3,0.126574722,0.028692046,Inf,1,-0.3
1,-0.2,0.122360635,0.028618335,Inf,1,-0.2
1,-0.1,0.118146547,0.028572397,Inf,1,-0.1
1,0,0.11393246,0.028554365,Inf,1,0
1,0.1,0.109718373,0.028564294,Inf,1,0.1
1,0.2,0.105504285,0.028602152,Inf,1,0.2
1,0.3,0.101290198,0.02866783,Inf,1,0.3
1,0.4,0.097076111,0.028761138,Inf,1,0.4
1,0.5,0.092862023,0.028881807,Inf,1,0.5
1,0.6,0.088647936,0.029029496,Inf,1,0.6
1,0.7,0.084433849,0.029203795,Inf,1,0.7
1,0.8,0.080219761,0.029404231,Inf,1,0.8
1,0.9,0.076005674,0.029630274,Inf,1,0.9
1,1,0.071791586,0.029881342,Inf,1,1
