entropy,core_label,yvar,SE,df,tvar,xvar
-1,-1,0.069571372,0.028519353,Inf,-1,-1
-1,-0.9,0.061297976,0.028371118,Inf,-1,-0.9
-1,-0.8,0.05302458,0.028239764,Inf,-1,-0.8
-1,-0.7,0.044751184,0.028125528,Inf,-1,-0.7
-1,-0.6,0.036477788,0.02802862,Inf,-1,-0.6
-1,-0.5,0.028204391,0.02794922,Inf,-1,-0.5
-1,-0.4,0.019930995,0.027887477,Inf,-1,-0.4
-1,-0.3,0.011657599,0.027843509,Inf,-1,-0.3
-1,-0.2,0.003384203,0.0278174,Inf,-1,-0.2
-1,-0.1,-0.004889193,0.027809201,Inf,-1,-0.1
-1,0,-0.01316259,0.027818927,Inf,-1,0
-1,0.1,-0.021435986,0.027846559,Inf,-1,0.1
-1,0.2,-0.029709382,0.027892045,Inf,-1,0.2
-1,0.3,-0.037982778,0.027955296,Inf,-1,0.3
-1,0.4,-0.046256174,0.028036194,Inf,-1,0.4
-1,0.5,-0.054529571,0.028134585,Inf,-1,0.5
-1,0.6,-0.062802967,0.028250287,Inf,-1,0.6
-1,0.7,-0.071076363,0.028383089,Inf,-1,0.7
-1,0.8,-0.079349759,0.028532751,Inf,-1,0.8
-1,0.9,-0.087623156,0.028699009,Inf,-1,0.9
-1,1,-0.095896552,0.028881577,Inf,-1,1
0,-1,0.120147063,0.028395381,Inf,0,-1
0,-0.9,0.11317085,0.028262122,Inf,0,-0.9
0,-0.8,0.106194638,0.028141481,Inf,0,-0.8
0,-0.7,0.099218425,0.028033622,Inf,0,-0.7
0,-0.6,0.092242212,0.027938692,Inf,0,-0.6
0,-0.5,0.085265999,0.027856823,Inf,0,-0.5
0,-0.4,0.078289786,0.027788131,Inf,0,-0.4
0,-0.3,0.071313574,0.027732714,Inf,0,-0.3
0,-0.2,0.064337361,0.027690652,Inf,0,-0.2
0,-0.1,0.057361148,0.027662005,Inf,0,-0.1
0,0,0.050384935,0.027646814,Inf,0,0
0,0.1,0.043408722,0.027645104,Inf,0,0.1
0,0.2,0.03643251,0.027656875,Inf,0,0.2
0,0.3,0.029456297,0.02768211,Inf,0,0.3
0,0.4,0.022480084,0.027720774,Inf,0,0.4
0,0.5,0.015503871,0.027772809,Inf,0,0.5
0,0.6,0.008527658,0.027838141,Inf,0,0.6
0,0.7,0.001551445,0.027916676,Inf,0,0.7
0,0.8,-0.005424767,0.028008304,Inf,0,0.8
0,0.9,-0.01240098,0.028112896,Inf,0,0.9
0,1,-0.019377193,0.028230308,Inf,0,1
1,-1,0.170722754,0.029794706,Inf,1,-1
1,-0.9,0.165043725,0.029578259,Inf,1,-0.9
1,-0.8,0.159364695,0.029381453,Inf,1,-0.8
1,-0.7,0.153685666,0.029204687,Inf,1,-0.7
1,-0.6,0.148006636,0.029048325,Inf,1,-0.6
1,-0.5,0.142327607,0.028912699,Inf,1,-0.5
1,-0.4,0.136648578,0.028798102,Inf,1,-0.4
1,-0.3,0.130969548,0.028704785,Inf,1,-0.3
1,-0.2,0.125290519,0.028632956,Inf,1,-0.2
1,-0.1,0.119611489,0.028582779,Inf,1,-0.1
1,0,0.11393246,0.028554365,Inf,1,0
1,0.1,0.108253431,0.028547782,Inf,1,0.1
1,0.2,0.102574401,0.028563044,Inf,1,0.2
1,0.3,0.096895372,0.028600115,Inf,1,0.3
1,0.4,0.091216342,0.028658912,Inf,1,0.4
1,0.5,0.085537313,0.0287393,Inf,1,0.5
1,0.6,0.079858283,0.0288411,Inf,1,0.6
1,0.7,0.074179254,0.028964085,Inf,1,0.7
1,0.8,0.068500225,0.029107988,Inf,1,0.8
1,0.9,0.062821195,0.029272499,Inf,1,0.9
1,1,0.057142166,0.029457273,Inf,1,1
